product_category_name,revenue,items_sold,revenue_share,cum_share,ABC
beleza_saude,1258681.34,9670,0.09384664219706629,0.09384664219706629,A
relogios_presentes,1205005.68,5991,0.08984461221645865,0.18369125441352493,A
cama_mesa_banho,1036988.68,11115,0.07731734992938567,0.2610086043429106,A
esporte_lazer,988048.97,8641,0.07366842997828972,0.33467703432120033,A
informatica_acessorios,911954.32,7827,0.0679948514761559,0.40267188579735624,A
moveis_decoracao,729762.49,8334,0.05441072105499726,0.4570826068523535,A
cool_stuff,635290.85,3796,0.04736696350088109,0.5044495703532346,A
utilidades_domesticas,632248.66,6964,0.047140139357746115,0.5515897097109806,A
automotivo,592720.11,4235,0.04419291072208616,0.5957826204330668,A
ferramentas_jardim,485256.46,4347,0.03618047549305451,0.6319630959261213,A
brinquedos,483946.6,4117,0.036082812995930136,0.6680459089220514,A
bebes,411764.89,3065,0.030700981315210693,0.6987468902372621,A
perfumaria,399124.87,3419,0.029758547836135074,0.7285054380733972,A
telefonia,323667.52999999997,4545,0.024132486844301842,0.752637924917699,A
moveis_escritorio,273960.7,1691,0.020426370815156296,0.7730642957328553,A
papelaria,230943.23,2517,0.01721901007418191,0.7902833058070372,A
pcs,222963.13,203,0.016624017866387036,0.8069073236734242,B
pet_shop,214315.41,1947,0.015979248250067458,0.8228865719234917,B
instrumentos_musicais,191498.88,680,0.014278059347808344,0.8371646312713,B
eletroportateis,190648.58,679,0.01421466141115492,0.8513792926824549,B
eletronicos,160246.74,2767,0.011947915643228895,0.8633272083256839,B
consoles_games,157465.22,1137,0.011740526923059276,0.8750677352487432,B
fashion_bolsas_e_acessorios,152823.54,2031,0.011394445616925606,0.8864621808656687,B
construcao_ferramentas_construcao,144677.59,929,0.010787087717264367,0.8972492685829331,B
malas_acessorios,140429.98,1092,0.010470388070423905,0.907719656653357,B
eletrodomesticos_2,113317.74,238,0.00844891320972486,0.9161685698630818,B
casa_construcao,83088.12,604,0.006195008077633777,0.9223635779407156,B
eletrodomesticos,80171.53,771,0.005977548606783481,0.928341126547499,B
agro_industria_e_comercio,72530.47,212,0.005407835049397848,0.9337489615968969,B
moveis_sala,68916.56,503,0.005138383753089285,0.9388873453499862,B
telefonia_fixa,59583.0,264,0.004442478254287777,0.943329823604274,B
casa_conforto,58572.04,434,0.004367101589535167,0.9476969251938091,B
climatizacao,55024.96,297,0.004102633104124578,0.9517995582979337,C
audio,50688.5,364,0.003779308846356612,0.9555788671442903,C
portateis_casa_forno_e_cafe,47445.71,76,0.0035375280689835045,0.9591163952132739,C
livros_interesse_geral,46856.88,553,0.0034936252028896137,0.9626100204161635,C
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37,281,0.0034542197653961407,0.9660642401815597,C
construcao_ferramentas_iluminacao,41080.0,304,0.0030629039606287346,0.9691271441421884,C
construcao_ferramentas_seguranca,40544.52,194,0.0030229788434710547,0.9721501229856594,C
industria_comercio_e_negocios,39669.61,268,0.0029577459977019782,0.9751078689833613,C
alimentos,29393.41,510,0.002191557738689977,0.9772994267220513,C
market_place,28378.47,311,0.002115884327156371,0.9794153110492076,C
construcao_ferramentas_jardim,25715.89,238,0.0019173637130499724,0.9813326747622576,C
artes,24202.64,209,0.00180453656070281,0.9831372113229604,C
fashion_calcados,23562.77,262,0.0017568281781008748,0.9848940395010612,C
bebidas,22428.7,379,0.0016722724942004308,0.9865663119952617,C
sinalizacao_e_seguranca,21509.23,199,0.0016037172774360856,0.9881700292726978,C
moveis_quarto,20028.78,109,0.0014933356764498926,0.9896633649491478,C
livros_tecnicos,19096.06,267,0.0014237925464071072,0.9910871574955549,C
construcao_ferramentas_ferramentas,15903.95,103,0.0011857904441246682,0.9922729479396796,C
alimentos_bebidas,15179.48,278,0.0011317743284392566,0.9934047222681188,C
fashion_roupa_masculina,10797.82,132,0.0008050799816006856,0.9942098022497196,C
fashion_underwear_e_moda_praia,9541.55,131,0.0007114131276907765,0.9949212153774103,C
artigos_de_natal,8800.82,153,0.0006561846746538602,0.9955774000520642,C
tablets_impressao_imagem,7528.41,83,0.0005613144305315718,0.9961387144825957,C
cine_foto,6933.46,72,0.0005169552603422811,0.996655669742938,C
musica,6034.35,38,0.000449918074849562,0.9971055878177875,C
dvds_blu_ray,5999.39,64,0.00044731147498433364,0.9975528992927718,C
livros_importados,4639.85,60,0.0003459448622620067,0.9978988441550338,C
artigos_de_festas,4485.18,43,0.0003344127455241672,0.998233256900558,C
moveis_colchao_e_estofado,4368.08,38,0.00032568182892753564,0.9985589387294855,C
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,15,0.0002958915836142637,0.9988548303130999,C
fashion_roupa_feminina,2803.64,48,0.00020903797614842126,0.9990638682892483,C
fashion_esporte,2119.51,30,0.0001580295903990314,0.9992218978796473,C
la_cuisine,2054.99,14,0.00015321901192922208,0.9993751168915765,C
artes_e_artesanato,1814.01,24,0.00013525166537536832,0.9995103685569519,C
fraldas_higiene,1567.59,39,0.00011687871518115867,0.999627247272133,C
pc_gamer,1545.95,9,0.00011526524775886058,0.9997425125198919,C
flores,1110.04,33,8.276401929056282e-05,0.9998252765391824,C
casa_conforto_2,760.27,30,5.668534552451821e-05,0.9998819618847069,C
cds_dvds_musicais,730.0,14,5.44284296801114e-05,0.999936390314387,C
fashion_roupa_infanto_juvenil,569.85,8,4.248772692220751e-05,0.9999788780413091,C
seguros_e_servicos,283.28999999999996,2,2.1121958690518843e-05,0.9999999999999997,C
